tipoEnvio;dataBase;cnpjIf;id;cpf;cnpj;valorADevolver;codOrigem;infAdicionais;modalidadePagamento
I;202206;38166;IDaleatorio000060;26024817851;;2604156,51;10;bla bla;94
I;202206;38166;IDaleatorio000061;23563650012;;3240631,61;40;bla bla;95
I;202206;38166;IDaleatorio000062;16500003403;;2171906,19;40;bla bla;96
I;202206;38166;IDaleatorio000063;38367595602;;2129528,18;40;bla bla;97
I;202206;38166;IDaleatorio000064;61832914127;;150787,46;10;bla bla;98
I;202206;38166;IDaleatorio000065;37648153459;;2445853,05;61;bla bla;91
I;202206;38166;IDaleatorio000066;10123542618;;1307178,57;50;bla bla;92
I;202206;38166;IDaleatorio000067;2200372051;;1459166,9;10;bla bla;93
I;202206;38166;IDaleatorio000068;48537857602;;237039,06;50;bla bla;94
I;202207;38166;IDaleatorio000069;20241701708;;2213069,56;50;bla bla;95
I;202207;38166;IDaleatorio000070;57357333035;;3473981,57;10;bla bla;96
I;202207;38166;IDaleatorio000071;86020270793;;1714120,69;11;bla bla;97
I;202207;38166;IDaleatorio000072;49665810448;;2635204,6;11;bla bla;98
I;202207;38166;IDaleatorio000073;70114278300;;122254,53;50;bla bla;91
I;202207;38166;IDaleatorio000074;93803551730;;1723369,79;10;bla bla;92
I;202207;38166;IDaleatorio000075;72142652140;;2848421,3;10;bla bla;93
I;202207;8;IDaleatorio000076;85166001141;;406632,02;50;bla bla;94
I;202207;38166;IDaleatorio000077;19509728101;;3421532,15;40;bla bla;95
I;202207;38166;IDaleatorio000078;49737951867;;1837947,19;51;bla bla;96
I;202207;38166;IDaleatorio000079;66229590646;;233318,98;40;bla bla;97
I;202207;38166;IDaleatorio000080;40614755093;;246614,42;10;bla bla;98
I;202207;38166;IDaleatorio000081;42613182610;;1113856,53;50;bla bla;91
I;202207;38166;IDaleatorio000082;85207993615;;3558415,45;50;bla bla;92
I;202207;38166;IDaleatorio000083;37421940979;;3462368,08;40;bla bla;93
I;202207;38166;IDaleatorio000084;73508643611;;2489785,22;40;bla bla;94
I;202207;38166;IDaleatorio000085;93597565123;;2651374,41;60;bla bla;95
I;202207;149299;IDaleatorio000086;21252662882;;2504254,14;60;bla bla;96
I;202207;149299;IDaleatorio000087;73019284325;;1834625,6;40;bla bla;97
I;202207;149299;IDaleatorio000088;62517395764;;3687592,86;51;bla bla;98
I;202207;149299;IDaleatorio000089;80469125063;;783602,26;61;bla bla;91
I;202207;149299;IDaleatorio000090;13943356876;;3247456,07;60;bla bla;92
I;202207;149299;IDaleatorio000091;81319699596;;362032,02;50;bla bla;93
I;202207;149299;IDaleatorio000092;78957453792;;2248026,63;50;bla bla;94
I;202207;149299;IDaleatorio000093;35110701555;;1488299,24;51;bla bla;95
I;202207;149299;IDaleatorio000094;8255220216;;3704003,03;50;bla bla;96
I;202207;149299;IDaleatorio000095;64880704601;;2902771,84;10;bla bla;97
I;202207;149299;IDaleatorio000096;20742986764;;1832175,37;40;bla bla;98
I;202207;149299;IDaleatorio000097;57166454458;;1414769,79;50;bla bla;91
I;202207;149299;IDaleatorio000098;77695326550;;1644201,75;50;bla bla;92
I;202207;38166;IDaleatorio000099;42980043508;;1744459,38;10;bla bla;93
I;202207;38166;IDaleatorio0000100;48177304208;;3457338,11;61;bla bla;94
I;202207;38166;IDaleatorio0000101;11233370553;;2549053,03;60;bla bla;95
I;202207;38166;IDaleatorio0000102;26296520760;;1436057,72;60;bla bla;96
I;202207;38166;IDaleatorio0000103;11985023636;;754635,49;61;bla bla;97
I;202207;38166;IDaleatorio0000104;85221832526;;3334510,3;51;bla bla;98
I;202207;38166;IDaleatorio0000105;87488011430;;1274971,02;10;bla bla;91
I;202207;38166;IDaleatorio0000106;34052762096;;690368,73;40;bla bla;92
I;202207;38166;IDaleatorio0000107;50814575404;;386864,76;11;bla bla;93
I;202207;38166;IDaleatorio0000108;28103942707;;1734522,41;61;bla bla;94
I;202207;38166;IDaleatorio0000109;43354468378;;3062845,1;10;bla bla;95
I;202207;38166;IDaleatorio0000110;30987948520;;2462492,02;40;bla bla;96
I;202207;38166;IDaleatorio0000111;15836139431;;793837,38;11;bla bla;97
I;202207;38166;IDaleatorio0000112;61053982399;;333826,26;51;bla bla;98
I;202207;38166;IDaleatorio0000113;43505171549;;1031929,17;10;bla bla;91
I;202207;38166;IDaleatorio0000114;37633982608;;1113986,09;10;bla bla;92
I;202207;38166;IDaleatorio0000115;20948011793;;2404227,7;10;bla bla;93
I;202207;38166;IDaleatorio0000116;61102360805;;1566287,16;10;bla bla;94
I;202207;38166;IDaleatorio0000117;12950587313;;655614,18;61;bla bla;95
I;202207;38166;IDaleatorio0000118;41757711155;;2485583,12;11;bla bla;96
I;202207;38166;IDaleatorio0000119;25822298907;;3645140,92;11;bla bla;97
I;202207;38166;IDaleatorio0000120;87658026166;;3255789,6;10;bla bla;98
I;202207;38166;IDaleatorio0000121;97226456680;;1222839,34;51;bla bla;91
I;202207;38166;IDaleatorio0000122;89699565810;;1018969,71;10;bla bla;92
I;202207;38166;IDaleatorio0000123;92647121940;;1733818,98;51;bla bla;93
I;202207;38166;IDaleatorio0000124;96454895475;;2101804,26;51;bla bla;94
I;202207;38166;IDaleatorio0000125;74077471729;;3854884,97;10;bla bla;95
I;202207;38166;IDaleatorio0000126;35919159049;;2505055,04;50;bla bla;96
I;202207;38166;IDaleatorio0000127;77328287713;;2289684,27;60;bla bla;97
I;202207;38166;IDaleatorio0000128;66664172593;;1251631,84;60;bla bla;98
I;202207;38166;IDaleatorio0000129;95645897897;;1276774,98;61;bla bla;91
I;202207;38166;IDaleatorio0000130;53237834432;;3159162,24;60;bla bla;92
I;202207;38166;IDaleatorio0000131;55148629509;;1403821,51;11;bla bla;93
I;202207;38166;IDaleatorio0000132;43658108126;;2535874,52;10;bla bla;94
I;202207;38166;IDaleatorio0000133;62204080632;;3326315,86;60;bla bla;95
I;202207;38166;IDaleatorio0000134;78884312671;;1665075,47;10;bla bla;96
I;202207;38166;IDaleatorio0000135;39397509560;;1073495,99;11;bla bla;97
I;202207;38166;IDaleatorio0000136;69557857455;;2329894,6;61;bla bla;98
I;202207;38166;IDaleatorio0000137;42311645099;;1519079,44;10;bla bla;91
I;202207;38166;IDaleatorio0000138;37124218420;;950620,48;10;bla bla;92
I;202207;38166;IDaleatorio0000139;44777730727;;3723997,47;50;bla bla;93
I;202207;38166;IDaleatorio0000140;54221688793;;1778741,86;40;bla bla;94
I;202207;38166;IDaleatorio0000141;28501238201;;3687971,09;10;bla bla;95
I;202207;38166;IDaleatorio0000142;14307223047;;3407502,51;51;bla bla;96
I;202207;38166;IDaleatorio0000143;34402201926;;1710556,65;40;bla bla;97
I;202207;38166;IDaleatorio0000144;64106365804;;831192,83;61;bla bla;98
I;202207;38166;IDaleatorio0000145;49951095283;;1288097,15;60;bla bla;91
I;202207;38166;IDaleatorio0000146;63030929426;;87391,1;61;bla bla;92
I;202207;38166;IDaleatorio0000147;9744236299;;2027558,32;10;bla bla;93
I;202207;38166;IDaleatorio0000148;73956519795;;3204931,37;61;bla bla;94
I;202207;38166;IDaleatorio0000149;41407712322;;1776550,91;10;bla bla;95
I;202207;38166;IDaleatorio0000150;95469227227;;2888910,26;60;bla bla;96
I;202207;38166;IDaleatorio0000151;61326293354;;448662,19;10;bla bla;97
I;202207;38166;IDaleatorio0000152;30503203203;;2203716,9;40;bla bla;98
I;202207;38166;IDaleatorio0000153;48009081671;;2329822,45;10;bla bla;91
I;202207;38166;IDaleatorio0000154;63829051271;;348878,16;10;bla bla;92
I;202207;38166;IDaleatorio0000155;13966875136;;3683728,94;10;bla bla;93
I;202207;38166;IDaleatorio0000156;33716865664;;409884,15;51;bla bla;94
I;202207;38166;IDaleatorio0000157;12482665795;;3699032,26;50;bla bla;95
I;202207;38166;IDaleatorio0000158;103415360;;2954141,48;50;bla bla;96
I;202207;38166;IDaleatorio0000159;36112819562;;2998046,01;61;bla bla;97
I;202207;38166;IDaleatorio0000160;77783353444;;2340666,36;11;bla bla;98
I;202207;38166;IDaleatorio0000161;64117935739;;961017,72;60;bla bla;91
I;202207;38166;IDaleatorio0000162;15401937059;;2038064,48;50;bla bla;92
I;202207;38166;IDaleatorio0000163;68908937781;;892651,39;10;bla bla;93
I;202207;38166;IDaleatorio0000164;96302939860;;3997561,81;10;bla bla;94
I;202207;38166;IDaleatorio0000165;99155651941;;1684102,61;40;bla bla;95
I;202207;38166;IDaleatorio0000166;51231831596;;3225009,95;60;bla bla;96
I;202207;38166;IDaleatorio0000167;11066513244;;3148008,8;10;bla bla;97
I;202207;38166;IDaleatorio0000168;53169936085;;1958709,05;11;bla bla;98
I;202207;38166;IDaleatorio0000169;67767974987;;478197,91;10;bla bla;91
I;202207;38166;IDaleatorio0000170;37209384502;;377861,29;60;bla bla;92
I;202207;38166;IDaleatorio0000171;72844692346;;953908,09;60;bla bla;93
I;202207;38166;IDaleatorio0000172;97095036349;;801106,82;10;bla bla;94
I;202207;38166;IDaleatorio0000173;14348643164;;1324335,65;61;bla bla;95
I;202207;38166;IDaleatorio0000174;64871348210;;1381088,07;40;bla bla;96
I;202207;38166;IDaleatorio0000175;82082955664;;189457,82;51;bla bla;97
I;202207;38166;IDaleatorio0000176;75321358613;;1093622,69;61;bla bla;98
I;202207;38166;IDaleatorio0000177;1984088700;;2697348,43;40;bla bla;91
I;202207;38166;IDaleatorio0000178;18991468810;;96554,98;11;bla bla;92
I;202207;38166;IDaleatorio0000179;3726609750;;3948416,33;61;bla bla;93
I;202207;38166;IDaleatorio0000180;63173992555;;1763631,69;10;bla bla;94
I;202207;38166;IDaleatorio0000181;29832778360;;3124526,72;10;bla bla;95
I;202207;38166;IDaleatorio0000182;39057879620;;1179965,27;11;bla bla;96
I;202207;38166;IDaleatorio0000183;40322617502;;1907334,46;11;bla bla;97
I;202207;38166;IDaleatorio0000184;61657468615;;1511041,58;11;bla bla;98
I;202207;38166;IDaleatorio0000185;85178415221;;2709420,86;10;bla bla;91
I;202207;38166;IDaleatorio0000186;96939509097;;1875154,25;11;bla bla;92
I;202207;38166;IDaleatorio0000187;24492142592;;316233,19;10;bla bla;93
I;202207;38166;IDaleatorio0000188;89766089507;;553572,15;10;bla bla;94
I;202207;38166;IDaleatorio0000189;28327892770;;534397,66;11;bla bla;95
I;202207;38166;IDaleatorio0000190;88365735687;;1849844,62;40;bla bla;96
I;202207;38166;IDaleatorio0000191;94301584650;;1644819,06;10;bla bla;97
I;202207;38166;IDaleatorio0000192;55717991100;;3611852,62;10;bla bla;98
I;202207;38166;IDaleatorio0000193;85638071296;;3275312,57;11;bla bla;91
I;202207;38166;IDaleatorio0000194;8255805796;;2617772,51;40;bla bla;92
I;202207;38166;IDaleatorio0000195;93536257500;;3891270,01;51;bla bla;93
I;202207;38166;IDaleatorio0000196;22467190897;;2406753,05;50;bla bla;94
I;202207;38166;IDaleatorio0000197;52309822418;;3800160,99;10;bla bla;95
I;202207;38166;IDaleatorio0000198;70642655405;;3627669,83;51;bla bla;96
I;202207;38166;IDaleatorio0000199;3703387408;;537283,21;10;bla bla;97
I;202207;38166;IDaleatorio0000200;35816163868;;2796072,78;61;bla bla;98
I;202207;38166;IDaleatorio0000201;50510442552;;2010622,99;10;bla bla;91
I;202207;38166;IDaleatorio0000202;42292430738;;2968585,91;51;bla bla;92
I;202207;38166;IDaleatorio0000203;64819542400;;2932698,71;10;bla bla;93
I;202207;38166;IDaleatorio0000204;27952046144;;3777445,76;61;bla bla;94
I;202207;38166;IDaleatorio0000205;98492307110;;1258316,5;10;bla bla;95
I;202207;38166;IDaleatorio0000206;54091819486;;3992447,75;40;bla bla;96
I;202207;38166;IDaleatorio0000207;80035387009;;1086528,46;10;bla bla;97
I;202207;38166;IDaleatorio0000208;52694922619;;2644141,72;50;bla bla;98
I;202207;38166;IDaleatorio0000209;79181898339;;786198,96;11;bla bla;91
I;202207;38166;IDaleatorio0000210;27823293404;;2336095,27;51;bla bla;92
I;202207;38166;IDaleatorio0000211;91045437506;;79064,85;10;bla bla;93
I;202207;38166;IDaleatorio0000212;17544726568;;3684135,29;51;bla bla;94
I;202207;38166;IDaleatorio0000213;5073284003;;913437,09;61;bla bla;95
I;202207;38166;IDaleatorio0000214;32725850363;;3038859,01;61;bla bla;96
I;202207;38166;IDaleatorio0000215;4628948607;;3429453,04;11;bla bla;97
I;202207;38166;IDaleatorio0000216;50267546009;;1448103,45;40;bla bla;98
I;202207;38166;IDaleatorio0000217;75736854597;;3799849,76;10;bla bla;91
I;202207;38166;IDaleatorio0000218;96500613392;;2307300,12;10;bla bla;92
I;202207;38166;IDaleatorio0000219;74040799267;;3952014,86;50;bla bla;93
I;202207;38166;IDaleatorio0000220;30010284591;;2408919,63;50;bla bla;94
I;202207;38166;IDaleatorio0000221;45837582940;;2316773,16;61;bla bla;95
I;202207;38166;IDaleatorio0000222;17618228531;;1618131,8;10;bla bla;96
I;202207;38166;IDaleatorio0000223;96067531070;;2541082,63;61;bla bla;97
I;202207;38166;IDaleatorio0000224;92586566793;;1919013,07;10;bla bla;98
I;202207;38166;IDaleatorio0000225;18794091439;;1296153,09;11;bla bla;91
I;202207;38166;IDaleatorio0000226;28386735996;;2579451,59;10;bla bla;92
I;202207;38166;IDaleatorio0000227;98009489026;;462162,32;40;bla bla;93
I;202207;38166;IDaleatorio0000228;58967532415;;3418396,86;10;bla bla;94
I;202207;38166;IDaleatorio0000229;49160299681;;950487,86;11;bla bla;95
I;202207;38166;IDaleatorio0000230;36272976798;;1387493,86;50;bla bla;96
I;202207;38166;IDaleatorio0000231;25991915997;;3893814,32;51;bla bla;97
I;202207;38166;IDaleatorio0000232;12757576852;;1147934,69;60;bla bla;98
I;202207;38166;IDaleatorio0000233;66843823483;;1356560,66;40;bla bla;91
I;202207;38166;IDaleatorio0000234;72918470015;;398162,97;10;bla bla;92
I;202207;38166;IDaleatorio0000235;3847725955;;1927405,64;40;bla bla;93
I;202207;38166;IDaleatorio0000236;96426219320;;1041743,81;61;bla bla;94
I;202207;38166;IDaleatorio0000237;91674582382;;3873681,58;50;bla bla;95
I;202207;38166;IDaleatorio0000238;616744358;;2166629,85;50;bla bla;96
I;202207;38166;IDaleatorio0000239;28606045454;;1222325,69;10;bla bla;97
I;202207;38166;IDaleatorio0000240;46289780697;;1034674,31;11;bla bla;98
I;202207;38166;IDaleatorio0000241;86048646364;;1903601,11;40;bla bla;91
I;202207;38166;IDaleatorio0000242;9691417189;;2383242,48;11;bla bla;92
I;202207;38166;IDaleatorio0000243;69469186222;;3610352,41;11;bla bla;93
I;202207;38166;IDaleatorio0000244;2178705464;;1433659,6;50;bla bla;94
I;202207;38166;IDaleatorio0000245;75265986774;;2855921,03;61;bla bla;95
I;202207;38166;IDaleatorio0000246;78562015687;;3429907,94;50;bla bla;96
I;202207;38166;IDaleatorio0000247;89152106110;;2266242,76;60;bla bla;97
I;202207;38166;IDaleatorio0000248;45158907005;;447513,29;60;bla bla;98
I;202207;38166;IDaleatorio0000249;87003878780;;2390924,93;51;bla bla;91
I;202207;38166;IDaleatorio0000250;55264863547;;1498889,53;60;bla bla;92
I;202207;38166;IDaleatorio0000251;39515274982;;425680,37;10;bla bla;93
I;202207;38166;IDaleatorio0000252;68527496305;;3363640,24;60;bla bla;94
I;202207;38166;IDaleatorio0000253;13975954698;;3682692,97;60;bla bla;95
I;202207;38166;IDaleatorio0000254;66987597677;;3186566,89;61;bla bla;96
I;202207;38166;IDaleatorio0000255;87208186103;;3129335,37;40;bla bla;97
I;202207;38166;IDaleatorio0000256;65775274822;;1572149,41;60;bla bla;98
I;202207;38166;IDaleatorio0000257;94072140953;;2527525,47;51;bla bla;91
I;202207;38166;IDaleatorio0000258;10146096746;;2175096,29;10;bla bla;92
I;202207;38166;IDaleatorio0000259;10210442964;;2422161,35;51;bla bla;93
I;202207;38166;IDaleatorio0000260;52125737183;;2554337,76;11;bla bla;94
I;202207;38166;IDaleatorio0000261;55799584716;;1528315,92;10;bla bla;95
I;202207;38166;IDaleatorio0000262;34904013107;;667888,11;61;bla bla;96
I;202207;38166;IDaleatorio0000263;61316329879;;1780225,28;61;bla bla;97
I;202207;38166;IDaleatorio0000264;46316126905;;780361,41;40;bla bla;98
I;202207;38166;IDaleatorio0000265;3265756777;;2242916,38;40;bla bla;91
I;202207;38166;IDaleatorio0000266;35386794523;;2300757,65;61;bla bla;92
I;202207;38166;IDaleatorio0000267;4942666279;;163687,28;51;bla bla;93
I;202207;38166;IDaleatorio0000268;34416181302;;572299,49;40;bla bla;94
I;202207;38166;IDaleatorio0000269;82605759571;;2641711,43;40;bla bla;95
I;202207;38166;IDaleatorio0000270;10691049068;;685686,83;51;bla bla;96
I;202207;38166;IDaleatorio0000271;25016802602;;1867532,02;60;bla bla;97
I;202207;38166;IDaleatorio0000272;40556267460;;1287597,94;10;bla bla;98
I;202207;38166;IDaleatorio0000273;46814057360;;1468447,44;40;bla bla;91
I;202207;38166;IDaleatorio0000274;99915949065;;432654,57;61;bla bla;92
I;202207;38166;IDaleatorio0000275;26547219496;;3644595,31;60;bla bla;93
I;202207;38166;IDaleatorio0000276;92254095323;;1658500,9;61;bla bla;94
I;202207;38166;IDaleatorio0000277;7475416631;;2193229,06;10;bla bla;95
I;202207;38166;IDaleatorio0000278;75125796590;;1408695,69;61;bla bla;96
I;202207;38166;IDaleatorio0000279;79939586523;;2425133,09;50;bla bla;97
I;202207;38166;IDaleatorio0000280;91094949876;;2785249,72;10;bla bla;98
I;202207;38166;IDaleatorio0000281;8438583466;;63712,4;51;bla bla;91
I;202207;38166;IDaleatorio0000282;17007224091;;2328817,79;60;bla bla;92
I;202207;38166;IDaleatorio0000283;12715037198;;3667391,44;50;bla bla;93
I;202207;38166;IDaleatorio0000284;15736990717;;1712968,46;60;bla bla;94
I;202207;38166;IDaleatorio0000285;82122266384;;2101634,32;40;bla bla;95
I;202207;38166;IDaleatorio0000286;86198889947;;1247223,7;51;bla bla;96
I;202207;38166;IDaleatorio0000287;49906386975;;66318,24;11;bla bla;97
I;202207;38166;IDaleatorio0000288;56076185953;;2433841,46;61;bla bla;98
I;202207;38166;IDaleatorio0000289;59354702414;;1563455,91;50;bla bla;91
I;202207;38166;IDaleatorio0000290;30832083593;;2270357,08;10;bla bla;92
I;202207;38166;IDaleatorio0000291;60806688076;;3202071,66;40;bla bla;93
I;202207;38166;IDaleatorio0000292;21701069520;;2160673,58;51;bla bla;94
I;202207;38166;IDaleatorio0000293;3101469929;;1273201,06;40;bla bla;95
I;202207;38166;IDaleatorio0000294;92153219426;;137560,87;61;bla bla;96
I;202207;38166;IDaleatorio0000295;37879024220;;3147075,4;60;bla bla;97
I;202207;38166;IDaleatorio0000296;32703583850;;2445924,8;50;bla bla;98
I;202207;38166;IDaleatorio0000297;97352965866;;8784,23;61;bla bla;91
I;202207;38166;IDaleatorio0000298;20121726525;;1658013,66;50;bla bla;92
I;202207;38166;IDaleatorio0000299;72426298375;;3698021,77;10;bla bla;93
I;202207;38166;IDaleatorio0000300;11197273085;;3759365,68;10;bla bla;94
I;202207;38166;IDaleatorio0000301;82048024556;;957297,86;10;bla bla;95
I;202207;38166;IDaleatorio0000302;47866242500;;3998015,76;10;bla bla;96
I;202207;38166;IDaleatorio0000303;14375117320;;3648561,81;10;bla bla;97
I;202207;38166;IDaleatorio0000304;87795489702;;1703374,91;11;bla bla;98
I;202207;38166;IDaleatorio0000305;46432361834;;252923,02;40;bla bla;91
I;202207;38166;IDaleatorio0000306;32681612357;;2814054,24;51;bla bla;92
I;202207;38166;IDaleatorio0000307;13225539201;;334651,73;10;bla bla;93
I;202207;38166;IDaleatorio0000308;39985452046;;698760,91;10;bla bla;94
I;202207;38166;IDaleatorio0000309;76324060004;;218441,09;11;bla bla;95
I;202207;38166;IDaleatorio0000310;7710762158;;2860370,67;10;bla bla;96
I;202207;38166;IDaleatorio0000311;37440327446;;3027746,85;11;bla bla;97
I;202207;38166;IDaleatorio0000312;59241481900;;2918736,72;51;bla bla;98
I;202207;38166;IDaleatorio0000313;62796866475;;351924,64;50;bla bla;91
I;202207;38166;IDaleatorio0000314;91066439222;;1375532,28;61;bla bla;92
I;202207;38166;IDaleatorio0000315;96533054686;;583675,73;50;bla bla;93
I;202207;38166;IDaleatorio0000316;82204939331;;1311519,2;10;bla bla;94
I;202207;38166;IDaleatorio0000317;50577735420;;841084,67;40;bla bla;95
I;202207;38166;IDaleatorio0000318;81662415605;;2950249,33;11;bla bla;96
I;202207;38166;IDaleatorio0000319;84233725451;;3643372,23;10;bla bla;97
I;202207;38166;IDaleatorio0000320;7044668305;;2967334,72;40;bla bla;98
I;202207;38166;IDaleatorio0000321;73921845394;;24244,95;60;bla bla;91
I;202207;38166;IDaleatorio0000322;17522906741;;2942279,54;50;bla bla;92
I;202207;38166;IDaleatorio0000323;64538325007;;2607911,98;40;bla bla;93
I;202207;38166;IDaleatorio0000324;80759119201;;1939438,01;60;bla bla;94
I;202207;38166;IDaleatorio0000325;52671786328;;15563,16;60;bla bla;95
I;202207;38166;IDaleatorio0000326;95096581543;;2836247,82;50;bla bla;96
I;202207;38166;IDaleatorio0000327;7272197315;;817800,36;10;bla bla;97
I;202207;38166;IDaleatorio0000328;75049969557;;3508458,5;61;bla bla;98
I;202207;38166;IDaleatorio0000329;75412699723;;2452456,35;51;bla bla;91
I;202207;38166;IDaleatorio0000330;45830912732;;1731774,15;50;bla bla;92
I;202207;38166;IDaleatorio0000331;84458972847;;3465578,62;50;bla bla;93
I;202207;38166;IDaleatorio0000332;7673264820;;3312999,08;11;bla bla;94
I;202207;38166;IDaleatorio0000333;99734058975;;380183,45;10;bla bla;95
I;202207;38166;IDaleatorio0000334;74369003660;;812613,35;10;bla bla;96
I;202207;38166;IDaleatorio0000335;77333408450;;3323209,91;10;bla bla;97
I;202207;38166;IDaleatorio0000336;61246122596;;1186931,04;61;bla bla;98
I;202207;38166;IDaleatorio0000337;10564202606;;2164997,04;40;bla bla;91
I;202207;38166;IDaleatorio0000338;16237391606;;1857586,41;60;bla bla;92
I;202207;38166;IDaleatorio0000339;53284453172;;2317464,71;51;bla bla;93
I;202207;38166;IDaleatorio0000340;41711265250;;2131328,1;11;bla bla;94
I;202207;38166;IDaleatorio0000341;18362093714;;2921475,4;60;bla bla;95
I;202207;38166;IDaleatorio0000342;65926670527;;3948357,78;60;bla bla;96
I;202207;38166;IDaleatorio0000343;44550274166;;2458365,91;50;bla bla;97
I;202207;38166;IDaleatorio0000344;12530894930;;3953251,58;50;bla bla;98
I;202207;38166;IDaleatorio0000345;67134711293;;2146821,38;50;bla bla;91
I;202207;38166;IDaleatorio0000346;20313173346;;2982225,96;51;bla bla;92
I;202207;38166;IDaleatorio0000347;19479547333;;2595236,71;60;bla bla;93
I;202207;38166;IDaleatorio0000348;24655153067;;1834515,34;60;bla bla;94
I;202207;38166;IDaleatorio0000349;32925639682;;2291312,95;51;bla bla;95
I;202207;38166;IDaleatorio0000350;47503819006;;1787310,78;61;bla bla;96
I;202207;38166;IDaleatorio0000351;30255914717;;2677057,2;60;bla bla;97
